2026-03-08 12:50:23 | ERROR    | src.data_pipeline.data_loader | No aFRR data could be downloaded. Please manually download from https://www.regelleistung.net and save to /home/anurag/GitRepos/global_tech_challenge/data/raw/affr_prices.csv
2026-03-08 12:50:23 | INFO     | src.data_pipeline.data_loader | Loading EU-ETS prices from /home/anurag/GitRepos/global_tech_challenge/data/raw/eu_ets_prices.csv …
2026-03-08 12:50:23 | INFO     | src.data_pipeline.data_loader | Loaded EU-ETS prices: 4 annual obs → 35041 hourly rows
2026-03-08 12:50:23 | INFO     | src.data_pipeline.data_loader | Loading gas prices from /home/anurag/GitRepos/global_tech_challenge/data/raw/gas_prices.csv …
2026-03-08 12:50:23 | INFO     | src.data_pipeline.data_loader | Loaded gas prices: 1006 daily obs → 35041 hourly rows
2026-03-08 12:50:23 | INFO     | __main__ | Phase 2: Cleaning and aligning …
2026-03-08 12:50:23 | INFO     | src.data_pipeline.data_cleaner | Cleaning dataset: canonical index 2020-01-01 → 2023-12-31 (35041 hours)
2026-03-08 12:50:23 | INFO     | src.data_pipeline.data_cleaner | Step 1: Aligning all series to hourly UTC index …
2026-03-08 12:51:09 | INFO     | src.data_pipeline.data_loader | Loading EU-ETS prices from /home/anurag/GitRepos/global_tech_challenge/data/raw/eu_ets_prices.csv …
2026-03-08 12:51:09 | INFO     | src.data_pipeline.data_loader | Loaded EU-ETS prices: 4 annual obs → 35041 hourly rows
2026-03-08 12:51:09 | INFO     | src.data_pipeline.data_loader | Loading gas prices from /home/anurag/GitRepos/global_tech_challenge/data/raw/gas_prices.csv …
2026-03-08 12:51:09 | INFO     | src.data_pipeline.data_loader | Loaded gas prices: 1006 daily obs → 35041 hourly rows
2026-03-08 12:51:47 | INFO     | __main__ | ============================================================
2026-03-08 12:51:47 | INFO     | __main__ | aFRR Opportunity Cost — Data Pipeline
2026-03-08 12:51:47 | INFO     | __main__ | ============================================================
2026-03-08 12:51:47 | INFO     | __main__ | Phase 1: Loading raw datasets …
2026-03-08 12:51:47 | INFO     | __main__ | Loading cached DA prices from da_prices.csv
2026-03-08 12:51:47 | INFO     | __main__ | Loading cached CCGT generation from ccgt_generation.csv
2026-03-08 12:51:47 | INFO     | src.data_pipeline.data_loader | Downloading aFRR data for 2020 from https://www.regelleistung.net/ext/data/?period=yearly&type=SRL&direction=positive&year=2020 …
2026-03-08 12:51:47 | WARNING  | src.data_pipeline.data_loader | Failed to download aFRR data for 2020: 404 Client Error: Not Found for url: https://www.regelleistung.net/ext/data/?period=yearly&type=SRL&direction=positive&year=2020
2026-03-08 12:51:47 | INFO     | src.data_pipeline.data_loader | Downloading aFRR data for 2021 from https://www.regelleistung.net/ext/data/?period=yearly&type=SRL&direction=positive&year=2021 …
2026-03-08 12:51:47 | WARNING  | src.data_pipeline.data_loader | Failed to download aFRR data for 2021: 404 Client Error: Not Found for url: https://www.regelleistung.net/ext/data/?period=yearly&type=SRL&direction=positive&year=2021
2026-03-08 12:51:47 | INFO     | src.data_pipeline.data_loader | Downloading aFRR data for 2022 from https://www.regelleistung.net/ext/data/?period=yearly&type=SRL&direction=positive&year=2022 …
2026-03-08 12:51:48 | WARNING  | src.data_pipeline.data_loader | Failed to download aFRR data for 2022: 404 Client Error: Not Found for url: https://www.regelleistung.net/ext/data/?period=yearly&type=SRL&direction=positive&year=2022
2026-03-08 12:51:48 | INFO     | src.data_pipeline.data_loader | Downloading aFRR data for 2023 from https://www.regelleistung.net/ext/data/?period=yearly&type=SRL&direction=positive&year=2023 …
2026-03-08 12:51:48 | WARNING  | src.data_pipeline.data_loader | Failed to download aFRR data for 2023: 404 Client Error: Not Found for url: https://www.regelleistung.net/ext/data/?period=yearly&type=SRL&direction=positive&year=2023
2026-03-08 12:51:48 | ERROR    | src.data_pipeline.data_loader | No aFRR data could be downloaded. Please manually download from https://www.regelleistung.net and save to /home/anurag/GitRepos/global_tech_challenge/data/raw/affr_prices.csv
2026-03-08 12:51:48 | INFO     | src.data_pipeline.data_loader | Loading EU-ETS prices from /home/anurag/GitRepos/global_tech_challenge/data/raw/eu_ets_prices.csv …
2026-03-08 12:51:48 | INFO     | src.data_pipeline.data_loader | Loaded EU-ETS prices: 4 annual obs → 35041 hourly rows
2026-03-08 12:51:48 | INFO     | src.data_pipeline.data_loader | Loading gas prices from /home/anurag/GitRepos/global_tech_challenge/data/raw/gas_prices.csv …
2026-03-08 12:51:48 | INFO     | src.data_pipeline.data_loader | Loaded gas prices: 1006 daily obs → 35041 hourly rows
2026-03-08 12:51:48 | INFO     | __main__ | Phase 2: Cleaning and aligning …
2026-03-08 12:51:48 | INFO     | src.data_pipeline.data_cleaner | Cleaning dataset: canonical index 2020-01-01 → 2023-12-31 (35041 hours)
2026-03-08 12:51:48 | INFO     | src.data_pipeline.data_cleaner | Step 1: Aligning all series to hourly UTC index …
2026-03-08 12:58:56 | INFO     | __main__ | ============================================================
2026-03-08 12:58:56 | INFO     | __main__ | aFRR Opportunity Cost — Data Pipeline
2026-03-08 12:58:56 | INFO     | __main__ | ============================================================
2026-03-08 12:58:56 | INFO     | __main__ | Phase 1: Loading raw datasets …
2026-03-08 12:58:56 | INFO     | __main__ | Loading cached DA prices from da_prices.csv
2026-03-08 12:58:57 | INFO     | __main__ | Loading cached CCGT generation from ccgt_generation.csv
2026-03-08 12:58:57 | INFO     | src.data_pipeline.data_loader | Downloading aFRR data for 2020 from https://www.regelleistung.net/ext/data/?period=yearly&type=SRL&direction=positive&year=2020 …
2026-03-08 12:58:57 | WARNING  | src.data_pipeline.data_loader | Failed to download aFRR data for 2020: 404 Client Error: Not Found for url: https://www.regelleistung.net/ext/data/?period=yearly&type=SRL&direction=positive&year=2020
2026-03-08 12:58:57 | INFO     | src.data_pipeline.data_loader | Downloading aFRR data for 2021 from https://www.regelleistung.net/ext/data/?period=yearly&type=SRL&direction=positive&year=2021 …
2026-03-08 12:58:57 | WARNING  | src.data_pipeline.data_loader | Failed to download aFRR data for 2021: 404 Client Error: Not Found for url: https://www.regelleistung.net/ext/data/?period=yearly&type=SRL&direction=positive&year=2021
2026-03-08 12:58:57 | INFO     | src.data_pipeline.data_loader | Downloading aFRR data for 2022 from https://www.regelleistung.net/ext/data/?period=yearly&type=SRL&direction=positive&year=2022 …
2026-03-08 12:58:58 | WARNING  | src.data_pipeline.data_loader | Failed to download aFRR data for 2022: 404 Client Error: Not Found for url: https://www.regelleistung.net/ext/data/?period=yearly&type=SRL&direction=positive&year=2022
2026-03-08 12:58:58 | INFO     | src.data_pipeline.data_loader | Downloading aFRR data for 2023 from https://www.regelleistung.net/ext/data/?period=yearly&type=SRL&direction=positive&year=2023 …
2026-03-08 12:58:58 | WARNING  | src.data_pipeline.data_loader | Failed to download aFRR data for 2023: 404 Client Error: Not Found for url: https://www.regelleistung.net/ext/data/?period=yearly&type=SRL&direction=positive&year=2023
2026-03-08 12:58:58 | ERROR    | src.data_pipeline.data_loader | No aFRR data could be downloaded. Please manually download from https://www.regelleistung.net and save to /home/anurag/GitRepos/global_tech_challenge/data/raw/affr_prices.csv
2026-03-08 12:58:58 | INFO     | src.data_pipeline.data_loader | Loading EU-ETS prices from /home/anurag/GitRepos/global_tech_challenge/data/raw/eu_ets_prices.csv …
2026-03-08 12:58:58 | INFO     | src.data_pipeline.data_loader | Loaded EU-ETS prices: 4 annual obs → 35041 hourly rows
2026-03-08 12:58:58 | INFO     | src.data_pipeline.data_loader | Loading gas prices from /home/anurag/GitRepos/global_tech_challenge/data/raw/gas_prices.csv …
2026-03-08 12:58:58 | INFO     | src.data_pipeline.data_loader | Loaded gas prices: 1006 daily obs → 35041 hourly rows
2026-03-08 12:58:58 | INFO     | __main__ | Phase 2: Cleaning and aligning …
2026-03-08 12:58:58 | INFO     | src.data_pipeline.data_cleaner | Cleaning dataset: canonical index 2020-01-01 → 2023-12-31 (35041 hours)
2026-03-08 12:58:58 | INFO     | src.data_pipeline.data_cleaner | Step 1: Aligning all series to hourly UTC index …
