Date,Price,Open,High,Low,Vol.,Change %
03/10/2026,49.38,47.805,49.38,46.6,0.04K,-12.53%
03/09/2026,56.453,62.66,62.9,55.8,0.24K,5.75%
03/06/2026,53.385,48.805,53.67,48.145,0.25K,5.23%
03/05/2026,50.731,52.85,53.92,47.895,0.56K,4.03%
03/04/2026,48.767,56.8,57.145,45.895,0.47K,-10.17%
03/03/2026,54.29,52.25,63.75,50.9,0.71K,21.98%
03/02/2026,44.506,38.59,48.59,38.32,0.41K,39.26%
02/27/2026,31.959,31.695,32.835,31.65,0.78K,-0.82%
02/26/2026,32.224,30.4,30.425,30.4,0.01K,3.78%
02/25/2026,31.05,31.42,31.5,31.42,0.04K,0.51%
02/24/2026,30.891,31.65,31.65,31.4,0.03K,-2.96%
02/23/2026,31.834,31.65,32.1,31.55,0.08K,-0.61%
02/20/2026,32.029,32.59,32.85,31.88,0.13K,-4.46%
02/19/2026,33.523,32.8,34.27,32.8,0.06K,6.49%
02/18/2026,31.481,30.01,31.875,29.38,0.04K,5.56%
02/17/2026,29.822,31.02,31.2,29.895,0.14K,-3.03%
02/16/2026,30.755,30.755,31.2,30.755,0.05K,-5.37%
02/13/2026,32.5,32.495,32.495,32.075,0.07K,-1.50%
02/12/2026,32.994,32.9,33.265,32.375,0.13K,2.57%
02/11/2026,32.167,32.495,32.85,32.185,0.03K,1.01%
02/10/2026,31.846,33.6,33.6,31.81,0.02K,-4.93%
02/09/2026,33.496,32.505,33.535,32.485,0.13K,-6.16%
02/06/2026,35.694,34.23,35.55,34.135,0.21K,5.81%
02/05/2026,33.735,34.175,35.05,33.845,0.15K,0.70%
02/04/2026,33.501,33.365,33.82,32.85,0.17K,1.95%
02/03/2026,32.86,31.955,32.89,31.355,0.27K,-3.20%
02/02/2026,33.945,34.65,35.15,33.08,0.24K,-13.59%
01/30/2026,39.285,39.18,39.64,37.525,0.15K,-2.06%
01/29/2026,40.113,40.113,40.113,40.113,,3.22%
01/28/2026,38.861,39.205,39.205,37.275,0.58K,0.26%
01/27/2026,38.761,39.055,39.48,38.21,0.17K,-0.90%
01/26/2026,39.112,40.8,40.8,40.13,0.12K,-2.32%
01/23/2026,40.039,37.2,40.005,37.2,0.29K,5.15%
01/22/2026,38.079,39.225,41.8,37.45,0.42K,-2.88%
01/21/2026,39.208,34.55,39.925,34.4,0.40K,9.25%
01/20/2026,35.887,34.7,37.095,33.215,1.12K,2.20%
01/19/2026,35.115,35.115,35.455,33.215,0.33K,-4.78%
01/16/2026,36.879,33.95,37.99,33.95,0.67K,11.22%
01/15/2026,33.158,32.27,33.64,31.975,1.42K,4.23%
01/14/2026,31.813,30.725,32.925,30.42,1.85K,1.08%
01/13/2026,31.473,32.12,32.3,30.67,1.52K,4.06%
01/12/2026,30.246,28.95,30.58,28.905,0.81K,6.60%
01/09/2026,28.374,27.62,28.565,27.62,1.90K,2.44%
01/08/2026,27.699,27.745,27.845,27.495,0.81K,-3.75%
01/07/2026,28.777,28.5,29.14,28.345,0.88K,2.51%
01/06/2026,28.072,27.62,28.195,27.575,1.37K,2.46%
01/05/2026,27.399,27.975,27.98,27.15,1.24K,-5.53%
01/02/2026,29.004,28.48,29.05,28.405,1.26K,2.99%
12/31/2025,28.161,27.755,28.43,27.755,0.03K,1.42%
12/30/2025,27.766,27.766,27.766,27.766,,-2.69%
12/29/2025,28.534,28.45,29,28.42,0.01K,1.56%
12/26/2025,28.095,28.095,28.095,28.095,,0.00%
12/24/2025,28.095,28.22,28.22,28.17,0.02K,1.31%
12/23/2025,27.732,27.79,27.79,27.79,0.01K,0.16%
12/22/2025,27.687,27.687,27.687,27.687,0.00K,-1.68%
12/19/2025,28.161,27.95,28.475,27.755,0.92K,1.84%
12/18/2025,27.652,27.55,27.835,27.3,0.53K,1.08%
12/17/2025,27.357,27.085,27.475,27.075,1.13K,2.22%
12/16/2025,26.764,26.97,27,26.68,1.05K,-2.41%
12/15/2025,27.425,27.73,27.745,27.28,0.56K,-0.94%
12/12/2025,27.684,27.355,27.56,27.245,0.49K,3.28%
12/11/2025,26.805,26.715,26.92,26.635,0.91K,0.76%
12/10/2025,26.602,27.015,27.09,26.55,1.41K,-3.23%
12/09/2025,27.489,27.4,27.53,27.34,0.42K,2.30%
12/08/2025,26.871,27.55,27.67,26.805,0.76K,-1.45%
12/05/2025,27.266,27.36,27.36,27.105,1.08K,0.66%
12/04/2025,27.088,27.575,27.58,27.055,1.11K,-3.96%
12/03/2025,28.206,27.995,28.27,27.995,1.11K,0.56%
12/02/2025,28.05,27.715,28.105,27.56,1.13K,-0.63%
12/01/2025,28.227,28.275,28.43,27.88,0.69K,-2.05%
11/28/2025,28.817,29.07,29.16,28.655,0.17K,-1.88%
11/26/2025,29.368,29.37,29.5,29.26,0.05K,-0.06%
11/25/2025,29.386,29.65,29.65,29.245,0.06K,-1.21%
11/24/2025,29.747,30.025,30.025,29.3,0.09K,-1.49%
11/21/2025,30.198,30.62,30.7,30.485,2.21K,-3.08%
11/20/2025,31.159,31.035,31.195,30.89,2.59K,0.71%
11/19/2025,30.94,31.155,31.185,30.675,1.96K,-2.38%
11/18/2025,31.694,31.74,31.95,31.49,2.16K,0.88%
11/17/2025,31.418,31.475,31.6,31.23,2.88K,0.54%
11/14/2025,31.25,30.745,31.08,30.59,1.11K,2.60%
11/13/2025,30.458,31.01,31.01,30.375,5.16K,-1.54%
11/12/2025,30.933,31.365,31.365,30.8,7.75K,-0.54%
11/11/2025,31.102,31.04,31.18,30.885,1.33K,0.10%
11/10/2025,31.071,31.3,31.465,30.84,9.39K,-0.42%
11/07/2025,31.201,31.49,31.505,31.145,5.59K,-1.10%
11/06/2025,31.548,31.445,31.725,31.445,3.55K,-0.85%
11/05/2025,31.819,32.1,32.12,31.695,2.28K,-2.25%
11/04/2025,32.551,31.94,32.495,31.93,8.19K,2.55%
11/03/2025,31.741,31.555,31.88,31.535,,1.99%
10/31/2025,31.122,31.185,31.335,31.095,1.26K,0.24%
10/30/2025,31.048,36,36,36,0.00K,-2.58%
10/29/2025,31.869,31.869,31.869,31.869,0.02K,1.19%
10/28/2025,31.494,31.315,31.71,31.315,0.02K,0.30%
10/27/2025,31.4,31.38,31.44,31.285,0.79K,-1.92%
10/24/2025,32.016,32.2,32.2,31.855,1.64K,-1.35%
10/23/2025,32.454,32.25,32.795,32.25,4.11K,2.16%
10/22/2025,31.768,32.05,32.185,31.67,6.08K,-1.34%
10/21/2025,32.2,31.435,32.27,31.435,4.45K,1.45%
10/20/2025,31.739,31.775,31.775,31.59,1.69K,-0.24%
10/17/2025,31.816,32.195,32.315,31.84,2.18K,-1.74%
10/16/2025,32.378,32.265,32.65,32.165,3.79K,1.73%
10/15/2025,31.826,31.75,31.85,31.44,1.44K,0.08%
10/14/2025,31.801,31.46,31.86,31.46,2.53K,1.04%
10/13/2025,31.475,31.825,31.845,31.345,,-2.16%
10/10/2025,32.17,32.08,32.185,31.88,3.17K,-0.60%
10/09/2025,32.363,32.195,32.52,32.065,2.78K,-1.03%
10/08/2025,32.7,33.57,33.57,32.645,3.17K,-1.64%
10/07/2025,33.246,33.5,33.625,33.04,4.23K,0.39%
10/06/2025,33.116,32.45,33.215,32.425,3.24K,5.34%
10/03/2025,31.438,31.105,31.625,30.97,3.86K,-0.05%
10/02/2025,31.455,31.445,31.475,31.055,4.05K,0.38%
10/01/2025,31.335,31.275,31.385,30.79,2.93K,-0.24%
09/30/2025,31.411,32.255,32.255,31.43,3.97K,-2.02%
09/29/2025,32.06,32.28,32.28,32.1,0.06K,-1.95%
09/26/2025,32.697,32.655,32.71,32.525,0.38K,0.74%
09/25/2025,32.456,32.405,32.565,32.35,0.08K,1.73%
